ZipCode,Assualt,Burglary,Larceny,Murder,Vehicle_Theft,PersonalCrime,PropertryCrime,Rape,Robbery,TotalCrime
22041,6,11,50,17,15,16,29,44,9,24
22302,50,49,97,53,92,54,92,84,85,79
22150,8,16,79,17,21,15,45,19,30,31
22303,6,10,61,24,23,16,37,37,11,27
22304,25,22,34,53,52,32,42,37,41,39
22310,19,25,87,15,42,21,59,34,39,42
22312,7,13,55,38,36,20,40,23,28,31
22315,4,8,40,13,8,13,22,38,5,18
22206,16,14,18,23,41,23,28,66,13,28
22314,88,102,176,29,144,93,164,126,225,136
