,address,bedrooms,bathrooms,price,squareFootage,floorplan,complex,covered_parking,balcony,washer_dryer,loft,hardwood_floors,office,open_concept,high_ceiling,pets,priceSquareFoot,latitude,longitude,SHAPE,commute_time,grocery_count,bar_count,gas_count,resturant_count,hospital_count,park_count,scores,scaled_scores
18,"5000 Eisenhower Ave, Alexandria, VA 22304",1,1.0,1534,744,Allison,The Reserve at Eisenhower Apartments,1.0,1,1,0,1,0,1,0,1,2.0618279569892475,38.8020697,-77.1229003,"{'spatialReference': {'wkid': 4326}, 'x': -77.1229003, 'y': 38.8020697}",13,5,5,8,16,0,14,-1171.5,4.1113234457596475
19,"5000 Eisenhower Ave, Alexandria, VA 22304",1,1.0,1631,862,Arrington,The Reserve at Eisenhower Apartments,1.0,1,1,0,0,1,0,0,1,1.8921113689095128,38.8020697,-77.1229003,"{'spatialReference': {'wkid': 4326}, 'x': -77.1229003, 'y': 38.8020697}",13,5,5,8,16,0,14,-1140.0,4.26240653181306
20,"5000 Eisenhower Ave, Alexandria, VA 22304",2,2.0,1882,1103,Blakely,The Reserve at Eisenhower Apartments,1.0,1,1,0,1,1,0,0,1,1.7062556663644606,38.8020697,-77.1229003,"{'spatialReference': {'wkid': 4326}, 'x': -77.1229003, 'y': 38.8020697}",13,5,5,8,16,0,14,-1152.0,7.159169637648866
21,"5000 Eisenhower Ave, Alexandria, VA 22304",2,2.0,1934,1115,Bingham,The Reserve at Eisenhower Apartments,1.0,1,1,0,1,1,0,0,1,1.7345291479820628,38.8020697,-77.1229003,"{'spatialReference': {'wkid': 4326}, 'x': -77.1229003, 'y': 38.8020697}",13,5,5,8,16,0,14,-1212.0,7.112018302337293
22,"6001 Archstone Way, Alexandria, VA 22310",1,1.0,1898,935,Cypress,Park Place at Van Dorn,1.0,1,1,1,0,1,0,0,1,2.029946524064171,38.7935795,-77.13944359999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.13944359999999, 'y': 38.7935795}",15,4,3,10,6,0,3,-1471.0,1.2369509117654514
23,"6001 Archstone Way, Alexandria, VA 22310",1,1.0,1798,820,Elm,Park Place at Van Dorn,1.0,1,1,0,0,0,0,0,1,2.1926829268292685,38.7935795,-77.13944359999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.13944359999999, 'y': 38.7935795}",15,4,3,10,6,0,3,-1495.5,-0.9021811357122935
24,"6001 Archstone Way, Alexandria, VA 22310",2,2.0,2198,1077,Maple,Park Place at Van Dorn,1.0,1,1,0,0,1,0,0,1,2.040854224698236,38.7935795,-77.13944359999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.13944359999999, 'y': 38.7935795}",15,4,3,10,6,0,3,-1706.0,2.8135137208653522
25,"6001 Archstone Way, Alexandria, VA 22310",2,2.0,2248,1179,Oak,Park Place at Van Dorn,1.0,1,1,0,0,1,1,0,1,1.9067005937234944,38.7935795,-77.13944359999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.13944359999999, 'y': 38.7935795}",15,4,3,10,6,0,3,-1627.0,3.994329744604225
26,"5760 Dow Ave, Alexandria, VA 22304",1,1.0,1649,690,C.04,Moderna Tempo,1.0,0,1,0,1,0,1,1,1,2.389855072463768,38.8050101,-77.1330564,"{'spatialReference': {'wkid': 4326}, 'x': -77.1330564, 'y': 38.8050101}",16,5,7,12,16,0,10,-1439.5,3.200083694742448
27,"5575 Vincent Gate Terrace, Alexandria, VA",1,1.0,1784,862,A1I,Sullivan Place,1.0,0,1,0,1,0,1,1,1,2.0696055684454757,38.801162,-77.1607611,"{'spatialReference': {'wkid': 4326}, 'x': -77.1607611, 'y': 38.801162}",12,0,0,5,2,0,6,-1405.5,1.8807942848447297
